num;type;Question;Réponse
35;1er S;Pourquoi ne faut-il pas laisser une personne en perte de connaissance allongée sur le dos ?;"Car elle risque un étouffement par :
- Des liquides présents dans la gorge.
- La chute de la langue en arrière."
35;;;
36;VE;Montrez où s'effectue le remplissage de l'huile moteur.;Le candidat montre le bouchon de remplissage. Si le candidat a des difficultés pour ouvrir le capot, l'accompagnateur peut lui indiquer comment procéder.
36;1er S;L’utilisation d’un Défibrillateur Automatisé (DAE) sur une victime qui n’est pas en arrêt cardiaque présente-t-elle un risque ?;Non, car le défibrillateur se déclenche uniquement quand la victime est en arrêt cardiaque.
36;;;
37 87;VI;Montrez la commande permettant de désactiver l'airbag du passager avant.;
37 87;1er S;Quelles sont les conditions pou r réaliser le dégagement d’urgence d’une victime en présence d’un danger réel, immédiat et non contrôlable ?;La victime doit être visible, facile à atteindre et rien ne doit gêner son dégagement. Il faut être sûr(e) de pouvoir réaliser le dégagement de la victime.
37 87;;;
38 86;VE;A l'aide de la plaque indicative, donnez la pression préconisée pour les pneumatiques arrières, véhicule chargé.;
38 86;1er S;Comment et pourquoi protéger une zone de danger en cas d’accident de la route ?;En délimitant clairement et largement la zone de danger de façon visible pour protéger les victimes et éviter un sur-accident.
38 86;;;
39 89;VI;Montrez le voyant signalant l'absence de bouclage de la ceinture de sécurité du conducteur.;
39 89;1er S;Comment est composé le signal d’alerte du Système d’Alerte et d’Information des Populations (SAIP) diffusé par les sirènes ?;"Il se compose de deux codes distincts :
- Le Signal National d’Alerte (SNA), variation du signal sur trois cycles successifs.
- Le signal de fin d’alerte, signal continu."
39 89;;;
40;VE;Vérifiez le fonctionnement de l'éclairage de la plaque d'immatriculation à l'arrière.;Toute anomalie doit être signalée.
40;1er S;Quelles sont les trois informations à transmettre aux services de secours ?;Le numéro de téléphone à partir duquel l’appel est émis, la nature et la localisation la plus précise du problème.
40;;;
41;VI;Vérifiez la présence de l'attestation d'assurance du véhicule et de sa vignette sur le pare-brise.;
41;1er S;Qu’est ce qu’une hémorragie ?;C’est une perte de sang prolongée qui ne s’arrête pas. Elle imbibe de sang un mouchoir en quelques secondes.
41;;;
41;;;
41;QSER;Si la sécurité enfant est enclenchée, est-il possible d'ouvrir la portière arrière depuis l'extérieur ?;Oui.
41;1er S;Quels sont les risques pour une personne victime d’une hémorragie ?;Entraîner pour la victime une détresse circulatoire ou un arrêt cardiaque.
41;;;
41;QSER;Pouvez-vous les utiliser par forte pluie ?;Non.
41;1er S;Quels sont les signes d’un arrêt cardiaque ?;La victime ne répond pas, ne réagit pas et ne respire pas ou présente une respiration anormale.
41;;;
41;QSER;Quelles sont leurs deux utilités ?;"- Éclairer la zone de recul la nuit.
- Avertir les autres usagers de la manœuvre."
41;1er S;Qu’est ce qu’un défibrillateur automatisé externe (DAE) ?;C’est un appareil qui peut permettre de rétablir une activité cardiaque normale à une victime en arrêt cardiaque.
41;;;
41;QSER;Quelle est son utilité ?;Permet de retenir le mouvement de la tête en cas de choc et de limiter les blessures.
41;1er S;Par quels moyens doit être réalisée l’alerte des secours ?;L’alerte doit être donnée à l’aide d’un téléphone portable ou, à défaut, d’un téléphone fixe, ou d’une borne d’appel d’urgence.
41;;;
41;QSER;Quelle est la conséquence en cas de panne des feux de stop ?;Un manque d'information pour les usagers suiveurs et un risque de collision.
41;1er S;Lors d’un appel avec les services de secours, pourquoi devez-vous attendre que votre correspondant vous autorise à raccrocher ?;Car il peut nous conseiller ou nous guider dans la réalisation des gestes à faire, ou ne pas faire, jusqu’à l’arrivée des secours.
41;;;
41;QSER;Quelle est la différence entre un voyant orange et un voyant rouge ?;"- Rouge : Une anomalie de fonctionnement ou un danger.
- Orange : un élément important."
41;1er S;Qu’est ce qu’un arrêt cardiaque ?;Le cœur ne fonctionne plus ou fonctionne d’une façon anarchique.
41;;;
41;QSER;En roulant, quel est le risque d'une mauvaise fermeture du capot ?;Un risque d'ouverture du capot pouvant entraîner un accident.
41;1er S;Quel est le risque principal d’un arrêt cardiaque sans intervention des secours ?;La mort de la victime qui survient en quelques minutes.
41;;;
41;QSER;Quel peut être le risque de maintenir le recyclage de l’air de manière prolongée ?;Un risque de mauvaise visibilité par l’apparition de buée sur les surfaces vitrées.
41;1er S;Quels sont les risques pour une personne en perte de connaissance qui est allongée sur le dos ?;L’arrêt respiratoire et l’arrêt cardiaque.
41;;;
41;QSER;Quel est le principal risque d'une absence de liquide lave-glace ?;Une mauvaise visibilité.
41;1er S;Pourquoi faut-il pratiquer immédiatement une réanimation cardio-pulmonaire sur une victime en arrêt cardiaque ?;Car les lésions du cerveau surviennent dès les premières minutes.
41;;;
41;QSER;Quel est le risque de maintenir les feux de route lors d'un croisement avec d'autres usagers ?;Un risque d'éblouissement des autres usagers.
41;1er S;Quel est l’objectif du Signal d’Alerte et d’Information des Populations (SAIP) ?;Avertir la population d’un danger imminent ou qu’un événement grave est en train de se produire.
41;;;
41;QSER;Quelle est leur utilité ?;Rendre le véhicule plus visible le jour.
41;1er S;A quel moment pouvez-vous mettre fin à un appel avec les secours ?;Uniquement lorsque notre correspondant nous invite à le faire.
41;;;
41;QSER;En cas d'accident, dans quel délai doit-il être transmis à l'assureur ?;5 jours.
41;1er S;Quel est le risque principal d’un arrêt cardiaque sans intervention des secours ?;La mort de la victime qui survient en quelques minutes.
41;;;
41;QSER;Utilise-t-on le triangle de pré- signalisation sur autoroute ?;Non
41;1er S;Quel comportement doit-on adopter en présence d’une victime en arrêt cardiaque ?;"- ALERTER: alerter immédiatement les secours.
- MASSER: pratiquer une réanimation cardio- pulmonaire.
- DEFIBRILLER: utiliser un défibrillateur automatique (DAE) si possible."
41;;;
41;QSER;Quel est le risque de circuler avec un frein de parking mal desserré ?;Une dégradation du système de freinage.
41;1er S;Comment arrêter une hémorragie ?;En appuyant fortement sur l’endroit qui saigne avec les doigts ou avec la paume de la main en mettant un tissu propre sur la plaie.
41;;;
41;QSER;Quelles sont les conséquences en cas de panne d'un feu de croisement ?;Une mauvaise visibilité et le risque d'être confondu avec un deux roues.
41;1er S;Citez les trois manières d’évaluer l’état de conscience d’une victime ?;"- Lui poser des questions simples (""comment ça va ?"", ""vous m'entendez ?"").
- Lui secouer doucement les épaules.
- Lui prendre la main en lui demandant d'exécuter un geste simple (""serrez-moi la main"")."
41;;;
41;QSER;Quelle est l'utilité d'un limiteur de vitesse ?;Ne pas dépasser la vitesse programmée par le conducteur.
41;1er S;Quels sont les numéros d’urgence à appeler ?;"- Le 18, numéro d'appel des sapeurs-pompiers.
- Le 15, numéro d'appel des SAMU.
- Le 112, numéro de téléphone réservé aux appels d’urgence et valide dans l’ensemble de l’Union Européenne."
41;;;
41;QSER;Quelles sont les conséquences en cas de panne d'un feu de position arrière ?;Être mal vu et un risque de collision.
41;1er S;Comment est diffusée l’alerte émise par le Signal d’Alerte et d’Information aux Populations (SAIP) ?;Grâce aux sirènes, aux médias tels que Radio France et France Télévision ou encore grâce à l’application SAIP.
41;;;
41;QSER;Pour une bonne visibilité vers l’arrière, en plus de l’utilisation de l’essuie-glace, quelle commande pouvez-vous actionner par temps de pluie ?;La commande de désembuage arrière. Le terme dégivrage peut remplacer celui de désembuage.
41;1er S;Quels comportements adopter en présence d’une victime qui ne répond pas et ne réagit pas, mais respire ?;"- La placer en position stable sur le côté ou position latérale de sécurité.
- Alerter les secours.
- Surveiller la respiration de la victime jusqu'à l'arrivée des secours."
41;;;
41;QSER;Lorsque vous transportez un poids important dans le coffre, quelles sont les précautions à prendre en ce qui concerne les pneumatiques et l'éclairage avant ?;Augmenter la pression des pneumatiques et régler la hauteur des feux avants.
41;1er S;L’utilisation d’un Défibrillateur Automatisé (DAE) sur une victime qui n’est pas en arrêt cardiaque présente-t-elle un risque ?;Non car le défibrillateur se déclenche uniquement quand la victime est en arrêt cardiaque.
41;;;
41;QSER;Peut-on fixer tous les sièges enfant sur des attaches de type Isofix ?;Non (uniquement ceux compatibles avec ce type d’attache).
41;1er S;Comment vérifier la respiration d’une victime ?;Regarder si le ventre et la poitrine se soulèvent et sentir de l’air à l’expiration.
41;;;
41;QSER;Quels sont les risques de circuler avec des objets sur la plage arrière ?;Une mauvaise visibilité vers l'arrière et un risque de projection en cas de freinage brusque ou de choc.
41;1er S;Qu’est ce qu’une hémorragie ?;C’est une perte de sang prolongée qui ne s’arrête pas. Elle imbibe de sang un mouchoir en quelques secondes.
41;;;
41;QSER;A quelle fréquence est-il préconisé de vérifier la pression d’air des pneumatiques ?;Tous les mois
41;1er S;Qu’est ce qu’un arrêt cardiaque ?;Le cœur ne fonctionne plus ou fonctionne d’une façon anarchique.
41;;;
64;VE;Procédez à l’ouverture du capot puis à sa fermeture en vous assurant de son verrouillage.;
64;QSER;Pour un capot s’ouvrant depuis l’avant du véhicule, quelle est l’utilité du dispositif de sécurité ?;Empêcher l’ouverture du capot en circulation en cas de mauvais verrouillage.
64;1er S;Quels sont les risques pour une personne victime d’une hémorragie ?;Entraîner pour la victime une détresse circulatoire ou un arrêt cardiaque.
66 00;VE;Montrez où se situent les gicleurs de lave-glace avant.;
66 00;QSER;Quelle est la principale conséquence d’un dispositif de lave-glace défaillant ?;Une mauvaise visibilité due à l’impossibilité de nettoyer le pare-brise.
66 00;1er S;Qu’est ce qu’un défibrillateur automatisé externe (DAE) ?;C’est un appareil qui peut permettre de rétablir une activité cardiaque normale à une victime en arrêt cardiaque.
81;VI;De quelle couleur est le voyant qui indique une défaillance du système de freinage ?;
81;QSER;Quel est le risque de circuler avec un frein de parking mal desserré ?;Une dégradation du système de freinage.
81;1er S;En général, en cas de panne ou d’accident, où doit être placé le triangle de pré-signalisation ?;Le triangle de pré-signalisation doit être placé à une distance d’environ 30 m de la panne ou de l’accident, ou avant un virage ou un sommet de côte.
